,user_id,name,gender,age,year,email,programme,categories
46,47,Sosimo Coca-Sanz,male,20,2,sosimococa-sanz@edem.es,BSc in Engineering and Management,"['Business Management', 'Management Skills', 'Finance and Investment']"
47,48,Milagros Plana Aragón,female,19,1,milagrosplanaaragón@edem.es,BBA in Business Administration,"['Technology', 'Management Skills', 'Technology', 'Technology', 'Finance and Investment']"
48,49,Pepe Girón Huertas,male,20,3,pepegirónhuertas@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Marketing', 'Finance and Investment']"
49,50,Mario Adrián Escrivá Iriarte,male,19,1,marioadriánescriváiriarte@edem.es,BBA in Business Administration,['Finance and Investment']
50,51,Guiomar Camps Quevedo,male,19,1,guiomarcampsquevedo@edem.es,BBA in Business Administration,"['Marketing', 'Finance and Investment', 'Finance and Investment']"
51,52,José María Escalona-Guerrero,male,18,4,josémaríaescalona-guerrero@edem.es,BSc in Engineering and Management,"['Technology', 'Technology', 'Management Skills', 'Management Skills', 'Marketing']"
52,53,Jovita Marco Sanmiguel,female,18,1,jovitamarcosanmiguel@edem.es,BBA in Business Administration,"['Marketing', 'Marketing', 'Finance and Investment', 'Business Management']"
53,54,Angelina Serna Jordá,female,26,1,angelinasernajordá@edem.es,MBA Junior,"['Marketing', 'Marketing', 'Marketing', 'Marketing', 'Finance and Investment']"
54,55,Carlito del Bartolomé,male,18,4,carlitodelbartolomé@edem.es,BBA in Business Administration,"['Technology', 'Marketing', 'Marketing', 'Finance and Investment']"
55,56,Camilo Pellicer Gimenez,male,18,3,camilopellicergimenez@edem.es,BBA in Business Administration,['Marketing']
56,57,Amado Vallés Diego,male,18,3,amadovallésdiego@edem.es,BSc in Engineering and Management,"['Marketing', 'Business Management', 'Management Skills']"
57,58,Eric Baudelio Gibert Castelló,male,18,4,ericbaudeliogibertcastelló@edem.es,BBA in Business Administration,"['Business Management', 'Technology', 'Finance and Investment', 'Management Skills', 'Finance and Investment']"
58,59,Cirino Iglesia Jaume,male,18,3,cirinoiglesiajaume@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Management Skills', 'Finance and Investment', 'Technology', 'Marketing']"
59,60,Eric del Peláez,male,19,1,ericdelpeláez@edem.es,BBA in Business Administration,"['Finance and Investment', 'Marketing', 'Finance and Investment', 'Finance and Investment', 'Technology']"
60,61,Nando del Lorenzo,male,21,1,nandodellorenzo@edem.es,Bootcamp UX/ UI,"['Technology', 'Marketing']"
61,62,Severiano Peláez,male,18,4,severianopeláez@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Business Management', 'Technology', 'Technology']"
62,63,Carlos Escolano Cuéllar,male,18,3,carlosescolanocuéllar@edem.es,BBA in Business Administration,"['Management Skills', 'Management Skills', 'Business Management', 'Management Skills', 'Management Skills']"
63,64,Roberta Salvà Cuevas,female,18,4,robertasalvàcuevas@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills']"
64,65,Marcos Laguna Camps,male,23,1,marcoslagunacamps@edem.es,Master Data Analytics,"['Marketing', 'Marketing', 'Finance and Investment']"
65,66,Esther Villegas Girón,female,26,1,esthervillegasgirón@edem.es,Master Marketing and Digital Sales,"['Marketing', 'Marketing', 'Finance and Investment', 'Management Skills', 'Management Skills']"
66,67,Saturnina Malena Cuesta Tello,female,18,1,saturninamalenacuestatello@edem.es,BBA in Business Administration,"['Marketing', 'Marketing', 'Management Skills']"
67,68,Guillermo de Lladó,male,21,1,guillermodelladó@edem.es,BSc in Engineering and Management,"['Technology', 'Technology']"
68,69,Ángel Gordillo Pont,male,19,1,ángelgordillopont@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Business Management']"
69,70,Mireia Montero Castells,female,19,1,mireiamonterocastells@edem.es,BBA in Business Administration,['Business Management']
70,71,Teodosio del Folch,male,18,4,teodosiodelfolch@edem.es,BSc in Engineering and Management,"['Management Skills', 'Business Management', 'Marketing', 'Finance and Investment', 'Finance and Investment']"
71,72,Alfredo Villanueva Revilla,male,20,1,alfredovillanuevarevilla@edem.es,Bootcamp Data Science,['Business Management']
72,73,Armando Andres Cobos,male,26,1,armandoandrescobos@edem.es,Master Finance,"['Management Skills', 'Business Management']"
73,74,Francisco Javier Sarabia Guillén,male,19,1,franciscojaviersarabiaguillén@edem.es,BBA in Business Administration,"['Management Skills', 'Business Management', 'Management Skills']"
74,75,María Acuña Cuéllar,male,18,4,maríaacuñacuéllar@edem.es,BBA in Business Administration,"['Management Skills', 'Marketing', 'Finance and Investment', 'Business Management']"
75,76,Áurea Cuenca Izaguirre,female,18,1,áureacuencaizaguirre@edem.es,BBA in Business Administration,"['Finance and Investment', 'Management Skills', 'Finance and Investment']"
76,77,Fanny Iglesias Sales,female,23,1,fannyiglesiassales@edem.es,MBA Junior,"['Finance and Investment', 'Technology', 'Business Management']"
77,78,Urbano Rozas,male,21,2,urbanorozas@edem.es,BBA in Business Administration,"['Finance and Investment', 'Finance and Investment', 'Marketing', 'Marketing', 'Technology']"
78,79,Nazario Atilio Posada Cazorla,male,19,1,nazarioatilioposadacazorla@edem.es,BBA in Business Administration,"['Technology', 'Finance and Investment', 'Finance and Investment']"
79,80,Natalia Fernandez,female,19,1,nataliafernandez@edem.es,BBA in Business Administration,"['Management Skills', 'Marketing', 'Marketing']"
80,81,Amaya Álvaro Vives,female,19,3,amayaálvarovives@edem.es,BBA in Business Administration,['Marketing']
81,82,Fito Barrena Tomas,male,20,1,fitobarrenatomas@edem.es,BBA in Business Administration,"['Business Management', 'Business Management']"
82,83,Anacleto Sabater-Chico,male,19,3,anacletosabater-chico@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Technology']"
83,84,Anastasia Roura Bárcena,female,26,1,anastasiarourabárcena@edem.es,MBA Junior,"['Business Management', 'Marketing', 'Management Skills', 'Finance and Investment', 'Business Management']"
84,85,Enrique Esteve Roselló,male,18,2,enriqueesteveroselló@edem.es,BBA in Business Administration,"['Marketing', 'Finance and Investment']"
85,86,José Manuel Donoso-Ferrero,male,18,4,josémanueldonoso-ferrero@edem.es,BSc in Engineering and Management,"['Business Management', 'Technology', 'Business Management']"
86,87,Ulises de Zapata,male,29,1,ulisesdezapata@edem.es,Bootcamp Cibersecurity,"['Management Skills', 'Business Management']"
87,88,Cesar Pol-Iriarte,male,18,2,cesarpol-iriarte@edem.es,BBA in Business Administration,['Management Skills']
88,89,Julián Silva-Figueras,male,18,2,juliánsilva-figueras@edem.es,BSc in Engineering and Management,['Marketing']
89,90,Nayara Trillo Hoz,female,18,1,nayaratrillohoz@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Marketing']"
90,91,Edgardo Asenjo Martínez,male,21,2,edgardoasenjomartínez@edem.es,BSc in Engineering and Management,"['Management Skills', 'Business Management', 'Management Skills']"
91,92,Ciríaco Muñoz Manjón,male,20,3,ciríacomuñozmanjón@edem.es,BBA in Business Administration,['Business Management']
92,93,Imelda Duran Acosta,female,27,1,imeldaduranacosta@edem.es,Master Marketing and Digital Sales,"['Management Skills', 'Marketing', 'Marketing', 'Management Skills']"
93,94,Celso Borja Perez,male,18,2,celsoborjaperez@edem.es,BBA in Business Administration,"['Management Skills', 'Marketing', 'Technology', 'Marketing', 'Finance and Investment']"
94,95,Seve de Cano,male,19,1,sevedecano@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Marketing', 'Management Skills']"
95,96,Agustina Amat Belmonte,female,18,1,agustinaamatbelmonte@edem.es,BBA in Business Administration,['Technology']
96,97,Curro Requena Portillo,male,29,1,currorequenaportillo@edem.es,Bootcamp Cibersecurity,"['Business Management', 'Management Skills', 'Business Management']"
97,98,Candelas del Coca,female,21,3,candelasdelcoca@edem.es,BBA in Business Administration,"['Finance and Investment', 'Marketing', 'Finance and Investment', 'Finance and Investment', 'Technology']"
98,99,Jorge Expósito Miguel,male,22,1,jorgeexpósitomiguel@edem.es,Bootcamp Full Stack,"['Marketing', 'Technology', 'Business Management', 'Business Management', 'Business Management']"
99,100,Asdrubal Palomino Santiago,male,26,1,asdrubalpalominosantiago@edem.es,Master Finance,"['Technology', 'Marketing', 'Marketing']"
100,101,Ale Ferrera Corominas,female,18,1,aleferreracorominas@edem.es,BSc in Engineering and Management,"['Management Skills', 'Marketing', 'Business Management', 'Management Skills', 'Management Skills']"
101,102,Salomón Camacho Gárate,male,18,4,salomóncamachogárate@edem.es,BBA in Business Administration,"['Management Skills', 'Business Management', 'Technology', 'Finance and Investment']"
102,103,Lisandro Valbuena,male,18,4,lisandrovalbuena@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Business Management', 'Management Skills']"
103,104,Camila Cornejo,female,19,3,camilacornejo@edem.es,BBA in Business Administration,"['Marketing', 'Management Skills', 'Management Skills', 'Business Management', 'Business Management']"
104,105,Juanito Marin Alberola,male,18,1,juanitomarinalberola@edem.es,BBA in Business Administration,"['Technology', 'Technology', 'Management Skills']"
105,106,Cebrián Higueras-Zorrilla,male,19,4,cebriánhigueras-zorrilla@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Business Management', 'Business Management']"
106,107,Benjamín Garzón Morales,male,20,2,benjamíngarzónmorales@edem.es,BSc in Engineering and Management,"['Technology', 'Business Management', 'Management Skills']"
107,108,Guiomar Castell Isern,male,18,2,guiomarcastellisern@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills']"
108,109,Zacarías del Montalbán,male,18,2,zacaríasdelmontalbán@edem.es,BBA in Business Administration,"['Finance and Investment', 'Finance and Investment']"
109,110,Dalila Noelia Cordero Ricart,female,28,1,dalilanoeliacorderoricart@edem.es,Bootcamp Data Science,"['Business Management', 'Business Management', 'Technology', 'Marketing']"
110,111,Manola Irma Collado Gisbert,female,23,1,manolairmacolladogisbert@edem.es,Master Finance,"['Finance and Investment', 'Business Management', 'Technology', 'Management Skills', 'Business Management']"
111,112,José Ángel Múñiz,male,21,1,joséángelmúñiz@edem.es,BBA in Business Administration,['Marketing']
112,113,Cloe de Armas,female,19,2,cloedearmas@edem.es,BBA in Business Administration,['Business Management']
113,114,Salud Guardia Salcedo,female,18,3,saludguardiasalcedo@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Marketing']"
114,115,Elías Luna Jordá,male,27,1,elíaslunajordá@edem.es,MBA Junior,"['Technology', 'Technology', 'Marketing', 'Finance and Investment', 'Finance and Investment']"
115,116,Aureliano Vázquez,male,26,1,aurelianovázquez@edem.es,Master Finance,"['Business Management', 'Marketing', 'Technology', 'Marketing']"
116,117,Chucho Barrera-Godoy,male,18,1,chuchobarrera-godoy@edem.es,BBA in Business Administration,"['Business Management', 'Business Management', 'Technology', 'Marketing']"
117,118,Luna Ureña Arteaga,female,18,4,lunaureñaarteaga@edem.es,BBA in Business Administration,"['Technology', 'Finance and Investment', 'Marketing', 'Technology', 'Business Management']"
118,119,Demetrio Cuesta Gonzalez,male,19,3,demetriocuestagonzalez@edem.es,BBA in Business Administration,"['Business Management', 'Technology', 'Business Management']"
119,120,Benigno Briones-Higueras,male,19,3,benignobriones-higueras@edem.es,BSc in Engineering and Management,"['Technology', 'Business Management', 'Management Skills']"
120,121,Gonzalo Zamora Berrocal,male,24,1,gonzalozamoraberrocal@edem.es,Master Marketing and Digital Sales,"['Management Skills', 'Technology', 'Finance and Investment']"
121,122,Fidel Adadia Cámara,male,18,3,fideladadiacámara@edem.es,BBA in Business Administration,"['Management Skills', 'Finance and Investment']"
122,123,Renato Pedrosa Cazorla,male,25,1,renatopedrosacazorla@edem.es,Master Marketing and Digital Sales,"['Finance and Investment', 'Technology']"
123,124,Pío Serna Velasco,male,18,3,píosernavelasco@edem.es,BBA in Business Administration,"['Technology', 'Finance and Investment', 'Marketing', 'Management Skills', 'Business Management']"
124,125,Herminio Padilla Expósito,male,18,1,herminiopadillaexpósito@edem.es,BSc in Engineering and Management,['Marketing']
125,126,Teodoro Dominguez Galvez,male,21,1,teodorodominguezgalvez@edem.es,BBA in Business Administration,"['Management Skills', 'Finance and Investment', 'Management Skills', 'Business Management', 'Marketing']"
126,127,Bernardino Maximiano Verdú Lillo,male,19,1,bernardinomaximianoverdúlillo@edem.es,BSc in Engineering and Management,"['Technology', 'Business Management', 'Business Management', 'Marketing']"
127,128,Luis Miguel Castrillo Mateu,male,24,1,luismiguelcastrillomateu@edem.es,MBA Junior,"['Management Skills', 'Technology', 'Finance and Investment', 'Management Skills']"
128,129,Marcelo de Barrios,male,25,1,marcelodebarrios@edem.es,Master Finance,"['Business Management', 'Marketing', 'Marketing', 'Marketing']"
129,130,Blas Ribera Moya,male,24,1,blasriberamoya@edem.es,Master Data Analytics,"['Finance and Investment', 'Management Skills', 'Technology', 'Finance and Investment', 'Business Management']"
130,131,Ana Belén de Sotelo,female,21,1,anabeléndesotelo@edem.es,BBA in Business Administration,"['Marketing', 'Finance and Investment']"
131,132,Maximino Gallart Valera,male,20,1,maximinogallartvalera@edem.es,BSc in Engineering and Management,"['Management Skills', 'Management Skills', 'Management Skills']"
132,133,Gerónimo Estevez,male,27,1,gerónimoestevez@edem.es,Master Finance,"['Management Skills', 'Marketing', 'Technology', 'Marketing']"
133,134,Hilario Bermejo Cano,male,42,1,hilariobermejocano@edem.es,Bootcamp Data Science,"['Finance and Investment', 'Technology', 'Marketing', 'Management Skills']"
134,135,Francisco Mohamed Ortuño Domínguez,male,18,1,franciscomohamedortuñodomínguez@edem.es,BSc in Engineering and Management,['Business Management']
135,136,Salvador Arregui Quirós,male,19,2,salvadorarreguiquirós@edem.es,BBA in Business Administration,['Business Management']
136,137,María Fernanda Higueras-Morante,female,19,1,maríafernandahigueras-morante@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Finance and Investment']"
137,138,Iris Caparrós Enríquez,female,27,1,iriscaparrósenríquez@edem.es,Master Marketing and Digital Sales,"['Management Skills', 'Technology']"
138,139,Prudencio de Morera,male,23,1,prudenciodemorera@edem.es,Master Marketing and Digital Sales,['Technology']
139,140,Herberto Catalán-Cerdá,male,19,2,herbertocatalán-cerdá@edem.es,BSc in Engineering and Management,"['Technology', 'Management Skills']"
140,141,Hernán Merino Lobato,male,18,2,hernánmerinolobato@edem.es,BBA in Business Administration,"['Finance and Investment', 'Business Management', 'Business Management']"
141,142,Wálter Villena-Martin,male,19,3,wáltervillena-martin@edem.es,BBA in Business Administration,['Business Management']
142,143,José Luis Vaquero Mayol,male,18,1,joséluisvaqueromayol@edem.es,BBA in Business Administration,"['Marketing', 'Finance and Investment']"
143,144,Celso Palmer Arjona,male,27,1,celsopalmerarjona@edem.es,Master Finance,['Marketing']
144,145,María Del Carmen Bueno,female,18,2,maríadelcarmenbueno@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Management Skills', 'Business Management', 'Finance and Investment']"
145,146,Cruz Escribano Ramis,female,18,4,cruzescribanoramis@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Business Management']"
146,147,Jose Luis Montoya Pol,male,21,3,joseluismontoyapol@edem.es,BBA in Business Administration,"['Marketing', 'Business Management', 'Technology', 'Finance and Investment', 'Technology']"
147,148,Dionisia Bauzà-Miranda,female,20,4,dionisiabauzà-miranda@edem.es,BBA in Business Administration,"['Finance and Investment', 'Business Management', 'Finance and Investment']"
148,149,Amancio Huguet Llamas,male,18,4,amanciohuguetllamas@edem.es,BSc in Engineering and Management,"['Marketing', 'Finance and Investment', 'Marketing', 'Business Management']"
149,150,Baldomero Julio César Duarte Valbuena,male,19,1,baldomerojuliocésarduartevalbuena@edem.es,BBA in Business Administration,"['Business Management', 'Technology', 'Business Management', 'Marketing']"
150,151,Glauco Nebot,male,32,1,glauconebot@edem.es,Bootcamp Cibersecurity,"['Business Management', 'Marketing', 'Business Management']"
151,152,Plinio Murcia,male,18,4,pliniomurcia@edem.es,BBA in Business Administration,"['Technology', 'Business Management', 'Management Skills', 'Marketing']"
152,153,Jaime Echeverría Miguel,male,21,2,jaimeecheverríamiguel@edem.es,BBA in Business Administration,['Management Skills']
153,154,Ofelia Prat-Hoyos,female,20,2,ofeliaprat-hoyos@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Business Management', 'Management Skills']"
154,155,Florencia Riba,female,18,2,florenciariba@edem.es,BSc in Engineering and Management,['Technology']
155,156,Julia Diez Pizarro,female,19,1,juliadiezpizarro@edem.es,BBA in Business Administration,"['Finance and Investment', 'Management Skills', 'Business Management']"
156,157,Renato Pozo,male,19,1,renatopozo@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Marketing']"
157,158,Georgina Ballesteros Sáez,female,18,3,georginaballesterossáez@edem.es,BBA in Business Administration,"['Finance and Investment', 'Marketing', 'Finance and Investment', 'Business Management', 'Technology']"
158,159,Maite Marí Adán,female,19,1,maitemaríadán@edem.es,BBA in Business Administration,"['Business Management', 'Business Management']"
159,160,Jose Ignacio León Marti,male,19,4,joseignacioleónmarti@edem.es,BSc in Engineering and Management,"['Technology', 'Finance and Investment', 'Management Skills', 'Technology']"
160,161,Teresa Gonzalo,female,19,1,teresagonzalo@edem.es,BSc in Engineering and Management,"['Management Skills', 'Technology']"
161,162,Danilo Toro Villalba,male,19,3,danilotorovillalba@edem.es,BBA in Business Administration,"['Technology', 'Management Skills', 'Marketing', 'Technology']"
162,163,Yago Monreal Herrera,male,18,1,yagomonrealherrera@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills', 'Management Skills']"
163,164,José Antonio Diéguez Barral,male,26,1,joséantoniodiéguezbarral@edem.es,MBA Junior,['Business Management']
164,165,René Navas Lopez,male,27,1,renénavaslopez@edem.es,Master Finance,"['Finance and Investment', 'Technology', 'Business Management']"
165,166,Gema Sancho,female,18,1,gemasancho@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Business Management']"
166,167,Lucas Peñas,male,18,1,lucaspeñas@edem.es,BBA in Business Administration,"['Business Management', 'Marketing', 'Technology']"
167,168,Asdrubal Martinez-Briones,male,21,4,asdrubalmartinez-briones@edem.es,BBA in Business Administration,"['Marketing', 'Marketing', 'Management Skills']"
168,169,Sara Lladó Reina,female,20,4,saralladóreina@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Finance and Investment', 'Technology']"
169,170,Augusto Barros,male,20,2,augustobarros@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Finance and Investment', 'Management Skills']"
170,171,José Sobrino-Córdoba,male,26,1,josésobrino-córdoba@edem.es,MBA Junior,"['Business Management', 'Business Management']"
171,172,Sara Enríquez Tenorio,female,18,3,saraenríqueztenorio@edem.es,BBA in Business Administration,['Marketing']
172,173,Manu Flor Llano,male,18,2,manuflorllano@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Management Skills', 'Marketing', 'Management Skills']"
173,174,Fanny de García,female,25,1,fannydegarcía@edem.es,Master Marketing and Digital Sales,"['Finance and Investment', 'Finance and Investment', 'Technology', 'Technology']"
174,175,Cosme Aguilar Palacios,male,26,1,cosmeaguilarpalacios@edem.es,Master Marketing and Digital Sales,['Finance and Investment']
175,176,Jenny Macarena Salvador Pinilla,female,20,4,jennymacarenasalvadorpinilla@edem.es,BSc in Engineering and Management,"['Marketing', 'Finance and Investment', 'Management Skills', 'Technology', 'Technology']"
176,177,Samu Andreu Infante,male,21,2,samuandreuinfante@edem.es,BSc in Engineering and Management,"['Business Management', 'Management Skills', 'Technology', 'Technology', 'Technology']"
177,178,Piedad Múgica Mayoral,female,18,2,piedadmúgicamayoral@edem.es,BBA in Business Administration,"['Marketing', 'Management Skills', 'Business Management', 'Business Management', 'Business Management']"
178,179,Ruperto Cantero Perez,male,18,2,rupertocanteroperez@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills']"
179,180,Dalila Vidal Vazquez,female,18,2,dalilavidalvazquez@edem.es,BBA in Business Administration,['Finance and Investment']
180,181,Heraclio Maldonado,male,19,4,heracliomaldonado@edem.es,BBA in Business Administration,"['Technology', 'Finance and Investment']"
181,182,Luís Cantón Bernad,male,19,4,luíscantónbernad@edem.es,BBA in Business Administration,"['Technology', 'Technology', 'Management Skills', 'Management Skills']"
182,183,Alejandro Torrijos Araujo,male,26,1,alejandrotorrijosaraujo@edem.es,Bootcamp UX/ UI,"['Business Management', 'Technology', 'Business Management']"
183,184,Melania Asensio Montero,female,18,2,melaniaasensiomontero@edem.es,BSc in Engineering and Management,"['Business Management', 'Business Management', 'Business Management']"
184,185,Purificación Carbonell,female,18,2,purificacióncarbonell@edem.es,BBA in Business Administration,"['Technology', 'Technology']"
185,186,Anabel Cañizares Quintero,female,19,1,anabelcañizaresquintero@edem.es,BBA in Business Administration,"['Marketing', 'Marketing']"
186,187,Rosendo Fortuny Coll,male,27,1,rosendofortunycoll@edem.es,Master Finance,['Finance and Investment']
187,188,Amor Sabas Rosselló Gimeno,male,18,1,amorsabasrossellógimeno@edem.es,BBA in Business Administration,"['Technology', 'Marketing', 'Marketing']"
188,189,Angelino Castañeda Amaya,male,20,4,angelinocastañedaamaya@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Business Management', 'Business Management', 'Marketing']"
189,190,Raimundo del Mate,male,18,2,raimundodelmate@edem.es,BBA in Business Administration,"['Technology', 'Technology', 'Technology', 'Marketing', 'Business Management']"
