,Unnamed: 0,student_id,email,name,surname,gender,age,programme,year,category_id,Marketing,Finance and Investment,Management Skills,Business Management,Tech,Entrepreneurship,Artificial Intelligence,Crypto,Sport,Economy,Networking,Sustainability,Design,Music,HR,Employment
35,35,36,timoteoquesada@edem.es,Timoteo,Quesada,male,18,BBA in Business Administration,3,"[3, 11, 14]",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
36,36,37,casandrapou@edem.es,Casandra,Pou,female,27,Master Data Analytics,1,"[13, 2, 10, 4, 14, 12, 1, 15]",1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0
37,37,38,dionisiacid@edem.es,Dionisia,Cid,female,20,BBA in Business Administration,3,"[11, 15, 5, 4, 16, 6, 13, 14, 7, 2, 12, 3, 10, 8]",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
38,38,39,elviramúgica@edem.es,Elvira,Múgica,female,24,Master Finance,1,"[1, 8, 10]",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
39,39,40,montserratgaya@edem.es,Montserrat,Gaya,female,19,BBA in Business Administration,3,"[3, 9, 4, 15]",0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
40,40,41,miguelgirona@edem.es,Miguel,Girona,male,20,BBA in Business Administration,4,"[5, 15, 6, 2, 4, 14, 16, 3, 8]",0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
41,41,42,eugeniamanzanares@edem.es,Eugenia,Manzanares,female,19,BSc in Engineering and Management,1,"[1, 11, 14, 9, 5, 15, 2, 3, 12, 16]",1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
42,42,43,purificaciónrodriguez@edem.es,Purificación,Rodriguez,female,19,BBA in Business Administration,1,"[5, 16, 15, 10]",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
43,43,44,blasfrancisco@edem.es,Blas,Francisco,male,21,BBA in Business Administration,1,"[11, 4, 16, 14, 5, 9, 8]",0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
44,44,45,leopoldoteruel@edem.es,Leopoldo,Teruel,male,18,BSc in Engineering and Management,1,"[2, 16, 11, 7, 5, 1, 14, 6, 3]",1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1
45,45,46,enriquecorral@edem.es,Enrique,Corral,male,19,BBA in Business Administration,1,"[6, 12, 8, 9, 15, 7, 13, 1, 2]",1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0
46,46,47,máximohervia@edem.es,Máximo,Hervia,male,20,BSc in Engineering and Management,2,"[5, 9, 1]",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
47,47,48,nidiamalo@edem.es,Nidia,Malo,female,19,BBA in Business Administration,1,"[5, 7, 3, 1, 16, 6, 13, 11, 4, 9, 2, 10]",1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
48,48,49,flavioruiz@edem.es,Flavio,Ruiz,male,20,BBA in Business Administration,3,"[14, 10, 12, 3, 4, 13, 11, 7, 1, 2, 6, 15]",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
49,49,263,joelrosa@edem.es,Joel,Rosa,male,18,BBA in Business Administration,1,"[8, 14, 1, 13, 15]",1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
50,50,50,faustinolanda@edem.es,Faustino,Landa,male,19,BBA in Business Administration,1,"[8, 5, 3, 13, 12, 2, 7, 1, 16, 11, 10, 4, 14, 6]",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
51,51,51,lupeblazquez@edem.es,Lupe,Blazquez,male,19,BBA in Business Administration,1,"[8, 1, 11, 4, 7, 6, 5, 2]",1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
52,52,52,ovidiodueñas@edem.es,Ovidio,Dueñas,male,18,BSc in Engineering and Management,4,"[12, 11, 9, 7, 15, 14, 6, 1, 2]",1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0
53,53,53,rosamaríaroman@edem.es,Rosa María,Roman,female,18,BBA in Business Administration,1,"[6, 10, 5, 1, 2, 15, 7, 16, 9]",1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1
54,54,54,pastoraolivares@edem.es,Pastora,Olivares,female,26,MBA Junior,1,"[4, 7, 10, 16, 5, 1, 15, 11, 13, 3, 8, 9, 14, 6]",1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
55,55,55,gerardoreyes@edem.es,Gerardo,Reyes,male,18,BBA in Business Administration,4,"[4, 12, 5, 9, 14, 11, 7, 6, 10, 13, 3]",0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
56,56,56,rodolfoquevedo@edem.es,Rodolfo,Quevedo,male,18,BBA in Business Administration,3,"[7, 16, 11, 15, 14]",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
57,57,57,franciscojavieradán@edem.es,Francisco Javier,Adán,male,18,BSc in Engineering and Management,3,"[10, 7, 9, 1, 5, 12]",1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
58,58,58,guillermosancho@edem.es,Guillermo,Sancho,male,18,BBA in Business Administration,4,"[14, 13, 10, 16, 11, 6, 8]",0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1
59,59,59,wáltervega@edem.es,Wálter,Vega,male,18,BSc in Engineering and Management,3,"[15, 11, 4, 9, 8, 3, 2, 5, 6, 1, 10, 16, 12, 7, 13]",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
60,60,60,checrespo@edem.es,Che,Crespo,male,19,BBA in Business Administration,1,[2],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,alcidesasenjo@edem.es,Alcides,Asenjo,male,21,Bootcamp UX/ UI,1,"[16, 10, 14, 13, 2, 8, 7, 4]",0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
62,62,62,epifanioarias@edem.es,Epifanio,Arias,male,18,BBA in Business Administration,4,"[16, 7, 4, 3, 11, 1, 2, 15, 14, 10, 6, 5, 8]",1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
63,63,63,édgaralvarez@edem.es,Édgar,Alvarez,male,18,BBA in Business Administration,3,"[8, 15]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,64,64,josefatolosa@edem.es,Josefa,Tolosa,female,18,BBA in Business Administration,4,"[15, 3, 13, 8]",0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
65,65,65,silvioburgos@edem.es,Silvio,Burgos,male,23,Master Data Analytics,1,"[15, 10, 14, 12, 9, 7, 13, 8, 3, 6, 4]",0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
66,66,66,ileanaescrivá@edem.es,Ileana,Escrivá,female,26,Master Marketing and Digital Sales,1,"[9, 13, 4, 11, 5, 16, 8, 14, 12, 15, 1, 3, 2, 7, 10]",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
67,67,67,zaidaamores@edem.es,Zaida,Amores,female,18,BBA in Business Administration,1,"[3, 16, 15, 4, 7, 14, 13, 2, 12, 10, 11]",0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
68,68,68,jenaromacías@edem.es,Jenaro,Macías,male,21,BSc in Engineering and Management,1,"[14, 1, 4, 7, 13, 10, 15, 12, 8, 11, 3, 6, 16, 2, 9]",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
69,69,69,ponciosevillano@edem.es,Poncio,Sevillano,male,19,BBA in Business Administration,1,"[8, 5, 7, 16, 1, 14, 6, 11, 3, 9, 4, 2, 12, 15, 10, 13]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,70,70,marianelatello@edem.es,Marianela,Tello,female,19,BBA in Business Administration,1,"[5, 14, 8, 3, 1, 16, 7, 6, 4, 15, 13, 9, 10, 2]",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
71,71,118,tomasapomares@edem.es,Tomasa,Pomares,female,18,BBA in Business Administration,4,"[14, 3, 4, 9, 7, 10, 15, 11, 13, 1, 5, 16]",1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
72,72,71,atiliobatalla@edem.es,Atilio,Batalla,male,18,BSc in Engineering and Management,4,"[9, 14, 2, 8, 1, 16, 12, 6, 4, 11, 10, 7, 5, 13]",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
73,73,72,gracianopedrosa@edem.es,Graciano,Pedrosa,male,20,Bootcamp Data Science,1,"[1, 10, 3, 4, 14, 8, 2]",1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
74,74,73,rafamontserrat@edem.es,Rafa,Montserrat,male,26,Master Finance,1,"[15, 12, 5, 13, 6, 3, 10]",0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0
75,75,74,josuéfernandez@edem.es,Josué,Fernandez,male,19,BBA in Business Administration,1,"[6, 5, 2, 10]",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
76,76,75,leonardobayona@edem.es,Leonardo,Bayona,male,18,BBA in Business Administration,4,[10],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,77,76,elviraolmedo@edem.es,Elvira,Olmedo,female,18,BBA in Business Administration,1,"[13, 12, 4, 2, 10, 11, 14, 16, 5, 7, 6, 8, 1]",1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
78,78,77,nildatomas@edem.es,Nilda,Tomas,female,23,MBA Junior,1,"[12, 9]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
79,79,78,cándidoalcolea@edem.es,Cándido,Alcolea,male,21,BBA in Business Administration,2,"[12, 2, 9, 11, 6, 1, 7, 8, 15, 4, 3, 10, 14, 5]",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
80,80,79,amílcarguardia@edem.es,Amílcar,Guardia,male,19,BBA in Business Administration,1,"[9, 10, 13, 16, 8, 12]",0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
81,81,80,esmeraldaespinosa@edem.es,Esmeralda,Espinosa,female,19,BBA in Business Administration,1,"[9, 6, 14, 4, 2, 5, 8, 13, 10, 11, 7, 16, 3, 1]",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
82,82,81,ramonacózar@edem.es,Ramona,Cózar,female,19,BBA in Business Administration,3,"[11, 3, 8, 4, 6, 5, 12, 16, 9, 14, 1, 7, 2, 10, 15, 13]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,83,82,nandotoro@edem.es,Nando,Toro,male,20,BBA in Business Administration,1,"[8, 12, 16, 11, 15, 14, 13, 1, 2, 3, 10, 4, 6, 5, 7, 9]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,84,83,gabinomarin@edem.es,Gabino,Marin,male,19,BBA in Business Administration,3,"[14, 12, 9, 6, 13, 8, 5, 10, 16, 2, 1, 7]",1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1
85,85,84,claracastellanos@edem.es,Clara,Castellanos,female,26,MBA Junior,1,"[4, 12, 9, 13, 15, 3, 16, 10, 8, 11, 6]",0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
86,86,85,calixtobravo@edem.es,Calixto,Bravo,male,18,BBA in Business Administration,2,"[4, 14, 16, 5, 15, 6, 3, 13, 1, 11]",1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1
87,87,86,mariolerma@edem.es,Mario,Lerma,male,18,BSc in Engineering and Management,4,"[9, 1, 15, 16, 5]",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
88,88,87,herminiosedano@edem.es,Herminio,Sedano,male,29,Bootcamp Cybersecurity,1,"[16, 2, 14, 1, 10]",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
89,89,88,silvestretomás@edem.es,Silvestre,Tomás,male,18,BBA in Business Administration,2,"[16, 8, 15, 6, 3, 1, 5, 14, 2, 7]",1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
90,90,89,maximilianovaquero@edem.es,Maximiliano,Vaquero,male,18,BSc in Engineering and Management,2,"[13, 8, 2]",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,91,90,febearagonés@edem.es,Febe,Aragonés,female,18,BSc in Engineering and Management,1,"[5, 3]",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
92,92,91,sandalioferrando@edem.es,Sandalio,Ferrando,male,21,BSc in Engineering and Management,2,"[3, 4, 2, 9, 7, 10, 11, 15, 12, 13]",0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
93,93,92,félixzabaleta@edem.es,Félix,Zabaleta,male,20,BBA in Business Administration,3,"[10, 14, 16, 7, 5, 15, 11, 1, 2, 13, 8, 6, 3, 4, 9]",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
94,94,93,verónicamorera@edem.es,Verónica,Morera,female,27,Master Marketing and Digital Sales,1,"[8, 3, 9, 2, 15, 1]",1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
95,95,119,roldáncampoy@edem.es,Roldán,Campoy,male,19,BBA in Business Administration,3,"[16, 15, 10, 3, 4, 8, 5, 11]",0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1
96,96,94,hermenegildofalcó@edem.es,Hermenegildo,Falcó,male,18,BBA in Business Administration,2,"[15, 12, 10, 8, 5, 1, 4, 16, 9, 6, 14, 11, 2, 7]",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
97,97,95,óscargarriga@edem.es,Óscar,Garriga,male,19,BSc in Engineering and Management,1,"[14, 2, 9, 4, 11, 3, 5]",0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
98,98,96,teclaaranda@edem.es,Tecla,Aranda,female,18,BBA in Business Administration,1,"[3, 1, 16, 13, 5]",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
99,99,97,eutimiomiguel@edem.es,Eutimio,Miguel,male,29,Bootcamp Cybersecurity,1,"[15, 2, 8, 12, 5, 7, 13, 9, 14, 4]",0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0
100,100,98,amadachaparro@edem.es,Amada,Chaparro,female,21,BBA in Business Administration,3,"[2, 15, 7]",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
101,101,99,moisésvaquero@edem.es,Moisés,Vaquero,male,22,Bootcamp Full Stack,1,"[9, 1, 2, 4, 11, 10, 12, 15, 5, 8, 16]",1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1
102,102,100,pacosainz@edem.es,Paco,Sainz,male,26,Master Finance,1,"[16, 9, 11, 8, 5, 3]",0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
103,103,101,anasofíamoreno@edem.es,Ana Sofía,Moreno,female,18,BSc in Engineering and Management,1,"[16, 2, 8, 6, 7, 13, 11, 15, 3, 14, 4, 10, 12, 5]",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
104,104,102,antoniopeñalver@edem.es,Antonio,Peñalver,male,18,BBA in Business Administration,4,"[2, 8, 16, 6, 5, 13, 14, 7, 1, 11, 12, 4, 9]",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
105,105,103,sanchobeltrán@edem.es,Sancho,Beltrán,male,18,BBA in Business Administration,4,"[7, 9]",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
106,106,104,zaidasaldaña@edem.es,Zaida,Saldaña,female,19,BBA in Business Administration,3,"[16, 11, 8, 13, 1, 4, 5, 9, 3, 14, 15, 6]",1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
107,107,105,espiridiónbilbao@edem.es,Espiridión,Bilbao,male,18,BBA in Business Administration,1,"[1, 11, 10, 13]",1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
108,108,106,ramónporcel@edem.es,Ramón,Porcel,male,19,BBA in Business Administration,4,"[6, 5, 9, 1, 14, 7, 2, 4]",1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0
109,109,107,armandovendrell@edem.es,Armando,Vendrell,male,20,BSc in Engineering and Management,2,"[15, 2, 11, 3]",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
110,110,108,gerardoferreras@edem.es,Gerardo,Ferreras,male,18,BBA in Business Administration,2,"[10, 9, 12, 5, 7, 8, 11, 4, 16, 13, 2, 15, 6, 3, 1, 14]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,111,109,teocamino@edem.es,Teo,Camino,male,18,BBA in Business Administration,2,"[14, 6, 13, 9, 5, 1, 12, 10, 8]",1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0
112,112,110,mamenboada@edem.es,Mamen,Boada,female,28,Bootcamp Data Science,1,"[15, 9, 8, 6, 13]",0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
113,113,111,estermartorell@edem.es,Ester,Martorell,female,23,Master Finance,1,"[15, 16, 6, 4, 12, 13, 10, 7, 11, 9, 8, 1, 3]",1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
114,114,112,morenocantón@edem.es,Moreno,Cantón,male,21,BBA in Business Administration,1,"[13, 7, 11, 16, 14, 3, 8, 1, 12, 5, 15, 10, 9, 2, 4, 6]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,115,113,dulcefolch@edem.es,Dulce,Folch,female,19,BBA in Business Administration,2,[5],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,116,114,irisrincón@edem.es,Iris,Rincón,female,18,BSc in Engineering and Management,3,"[5, 2, 8, 13, 16, 6, 10, 7, 15, 9, 3, 12, 4, 14]",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
117,117,115,vicentemarin@edem.es,Vicente,Marin,male,27,MBA Junior,1,"[2, 10, 16, 4, 11, 12, 5, 13, 14, 9, 1, 6, 7, 15, 8, 3]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,118,116,ramónbarrena@edem.es,Ramón,Barrena,male,26,Master Finance,1,"[11, 13]",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
119,119,117,andrésfeliperodrigo@edem.es,Andrés Felipe,Rodrigo,male,18,BBA in Business Administration,1,"[10, 6]",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
120,120,120,rómulourrutia@edem.es,Rómulo,Urrutia,male,19,BSc in Engineering and Management,3,"[1, 15, 13, 8, 5, 11, 9, 3, 2]",1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
121,121,121,aureliofiguerola@edem.es,Aurelio,Figuerola,male,24,Master Marketing and Digital Sales,1,"[12, 10, 5, 11, 7, 14, 8, 13, 4, 15, 16, 1, 2, 6, 3]",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
122,122,122,fabriciosobrino@edem.es,Fabricio,Sobrino,male,18,BBA in Business Administration,3,"[10, 1, 14, 11, 7, 5, 15, 16, 8, 12]",1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1
123,123,123,pánfilomayol@edem.es,Pánfilo,Mayol,male,25,Master Marketing and Digital Sales,1,"[8, 10, 13, 6, 4, 11, 12, 5, 3, 14]",0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
124,124,124,edelmirocuesta@edem.es,Edelmiro,Cuesta,male,18,BBA in Business Administration,3,"[2, 5, 13, 8]",0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
125,125,125,amarocriado@edem.es,Amaro,Criado,male,18,BSc in Engineering and Management,1,"[12, 16]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
126,126,126,cirinooller@edem.es,Cirino,Oller,male,21,BBA in Business Administration,1,"[3, 15, 5, 6, 12]",0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
127,127,127,bernabésalcedo@edem.es,Bernabé,Salcedo,male,19,BSc in Engineering and Management,1,"[6, 4, 3, 13, 9, 16, 12, 10, 5, 7, 2, 14, 15, 11]",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
128,128,128,celestinosastre@edem.es,Celestino,Sastre,male,24,MBA Junior,1,"[4, 8, 2, 3, 16, 11, 7, 9, 6, 1, 12]",1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1
129,129,129,ricardoarellano@edem.es,Ricardo,Arellano,male,25,Master Finance,1,[9],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,130,130,haroldobriones@edem.es,Haroldo,Briones,male,24,Master Data Analytics,1,"[15, 6, 11, 12]",0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
